id,link,title_name,score,scored_by,ranked,popularity,members,favorited,synonymns,japanese_name,english_name,german_name,french_name,spanish_name,item_type,episodes,status,airing_date,premier_date,broadcast_date,producers,licensors,studios,source,genres,themes,demographic,duration,age_rating,description,background
3278,https://myanimelist.net/anime/3278/Kinnikuman__New_York_Kiki_Ippatsu,Kinnikuman: New York Kiki Ippatsu!,6.18,592,9136,13202,1450,0,Kinnikuman: New York Close Call!,キン肉マン ニューヨーク危機一髪！,,,,,Movie,1,Finished Airing,"Mar 15, 1986",,,[],[],"[""Toei Animation""]",Manga,"[""Comedy"", ""Sports""]","[""Combat Sports""]",Shounen,45 min.,PG-13 - Teens 13 or older,"Terryman, Robin Mask, and the other Justice Choujins are participating in a tournament in New York. Suddenly, Akuma Shogun (not the same as the guy from the series) arrives and defeats all of the Justice Choujins and absorbs their power... all except Kinnikuman (who was late for the tournament because he was busy eating gyuudon). Now Kinnikuman must defeat Akuma Shogun, whom now posseses the combined strength of all the Justice Choujins.","Crisis in New York! is the sixth theatrical film based on the anime series Kinnikuman. It was released in Japan on March 15, 1986 alongside Captain Tsubasa: Race Towards Tomorrow, GeGeGe no Kitarou: The Great Youkai War, and Choushinsei Flashman. It is set after the Dream Choujin Tag Arc. This was the last film to feature a cameo from series creators Yudetamago. It was also the second and last film to feature the Announcer. The villain in the film is Akuma Shogun, who appeared in the original manga and anime series as the leader of the Devil Knights during the Golden Mask Arc. Seiyuu Hidekatsu Shibata returns as the main antagonist of this film, having previously played that role in Great Riot! Seigi Choujin. (Source: Kinnikuman Wiki)"
37776,https://myanimelist.net/anime/37776/Kirari_Kagayaku,Kirari Kagayaku,6.18,209,9137,17707,486,0,,きらり輝く,,,,,ONA,1,Finished Airing,"Mar 29, 2017",,,[],[],[],Original,"[""Romance""]","[""Music""]",,10 min.,G - All Ages,"Tekken is the tourism ambassador for Omachi in the Nagano Prefecture. It is his home town. The short is a story based on men's and women's romance set within the city and features the Shinano-Omachi Station, the Omachi hot springs village, the Omachi Mountain Museum, etc. Tekken stated to Oricon News that it took him 3 months to write the story. The film contains 2381 hand drawn pages.",
40075,https://myanimelist.net/anime/40075/Koi_to_Producer__EVOL×LOVE,Koi to Producer: EVOL×LOVE,6.18,19353,9138,2932,66411,289,Love and Producer,恋とプロデューサー~EVOL×LOVE~,Mr Love: Queen's Choice,Mr Love: Queen's Choice,Mr Love: Queen's Choice,Mr Love: Queen's Choice,TV,12,Finished Airing,"Jul 16, 2020 to Oct 1, 2020",Summer 2020,Thursdays at 00:00 (JST),[],"[""Anime Limited""]","[""MAPPA""]",Game,"[""Mystery"", ""Romance"", ""Sci-Fi""]","[""Reverse Harem"", ""Super Power""]",,23 min. per ep.,PG-13 - Teens 13 or older,"After her father passed away, a young woman inherited his production company, Miracle Entertainment, along with its most successful program, ""Miracle Finder."" In recent years, however, the show has fallen off the radar and it is now mostly forgotten. In an attempt to save the show from being canceled, this young woman desperately tries to look for a unique topic to use as inspiration. She finds it in the form of ""Evol,"" a mysterious gene that has granted certain people special powers and is considered the next step in human evolution. But, as marvelous as this gene seems, its existence may lead to an unstoppable battle between humans for survival. However, as she becomes more entangled with the strange world of the ""Evolvers,"" her life is suddenly disturbed by the arrival of four men: the cheerful idol Kira; the neuroscientist and Loveland University professor, Simon; the stoic CEO of Loveland Financial Group and Miracle Entertainment's benefactor, Zen; and her high school upperclassman Haku, a former delinquent now working as a police officer. As strange incidents begin to plague the city, will she be able to find out the truth about the ""Evol"" or ""Black Swan,"" the organization behind numerous attacks from ""Evolvers"" and possibly connected to her father's death? What is her part to play in its plan, and how are the men around her connected to it all? [Written by MAL Rewrite]",
2293,https://myanimelist.net/anime/2293/Kyoushoku_Soukou_Guyver,Kyoushoku Soukou Guyver,6.18,3471,9139,7616,7883,22,,強殖装甲ガイバー,Guyver: Out of Control,,,,Movie,1,Finished Airing,"Dec 13, 1986",,,"[""Movic"", ""Network""]",[],"[""animate Film"", ""Studio Live""]",Manga,"[""Action"", ""Horror"", ""Sci-Fi""]","[""Gore"", ""Super Power""]",Shounen,54 min.,R+ - Mild Nudity,"The plot of this OVA is a rough adaptation of the first four chapters of the Guyver manga. It covers the same basic elements of these chapters; Genesis of the guyver, Fight with Vamore, Fight with Guyver 2 and the introduction of Guyver 3. Main differences are the exclusion of Tetsuro and his replacement by Mizuki, The replacement of Lisker with a female Agent ""Valcuria"", and thus a female Guyver 2. There is also a look at Sho's psychology of how he deals with his situation including a very harsh moment where his friends are assassinated in cold blood. One night, high school student Sho Fukamachi discovers a mysterious metal object. Then in a blinding flash of light, Sho finds that he has accidentally fused with the Guyver, a mecha of mysterious alien design. Now, to save his girlfriend, Mizuki Segawa, along with the entire world, Sho must become the Guyver to fight the Chronos Corporation and their biocreatures, called Zoanoids, who are hell-bent on world domination. (Source: Wikipedia)",
38372,https://myanimelist.net/anime/38372/Magic_Knight_Rayearth_Pilot,Magic Knight Rayearth Pilot,6.18,545,9140,12509,1794,0,,魔法騎士（マジックナイト）レイアース  パイロットフィルム,,,,,Special,1,Finished Airing,"Oct 29, 2014",,,[],[],"[""Tokyo Movie Shinsha""]",Manga,"[""Fantasy""]","[""Isekai""]",Shoujo,4 min.,PG-13 - Teens 13 or older,"Included as a bonus feature on the Magic Knight Rayearth Memorial Collection Blu-ray set released on October 29, 2014.",
3391,https://myanimelist.net/anime/3391/Maicching_Machiko-sensei,Maicching Machiko-sensei,6.18,804,9141,9364,4659,10,"Shame of Teacher Machiko, Maicchingu Machiko Sensei, Maitchingu Machiko Sensei",まいっちんぐマチコ先生,Miss Machiko,Miss Machiko,Miss Machiko,Miss Machiko,TV,95,Finished Airing,"Oct 8, 1981 to Oct 6, 1983",Fall 1981,Thursdays at 19:30 (JST),"[""TV Tokyo""]","[""Discotek Media""]","[""Pierrot""]",Manga,"[""Comedy"", ""Ecchi""]","[""School""]",,24 min. per ep.,R+ - Mild Nudity,"Machiko Mai is the newest teacher at Asama Elementary; she's young, beautiful, and has the perfect proportions—traits that attract the attention of not only her students, but the rest of the perverted faculty as well. Whether it's luring her in and spraying up her skirt with a hose or leaps and bounds to grab her breasts, there's nothing that Machiko's first year students won't try to do. Regardless of her embarrassing plight, Machiko is always a good sport and tries her best to help out her students—at any cost to her dignity!",
499,https://myanimelist.net/anime/499/Makai_Toshi_Shinjuku,Makai Toshi Shinjuku,6.18,11844,9142,4556,28340,76,Monster City Shinjuku,魔界都市〈新宿〉,Demon City Shinjuku,Demon City: Shinjuku,Wicked City and Demon City Shinjuku,,OVA,1,Finished Airing,"Oct 25, 1988",,,"[""Japan Home Video""]","[""Central Park Media"", ""Discotek Media""]","[""Madhouse""]",Novel,"[""Adventure"", ""Horror"", ""Romance"", ""Supernatural""]","[""Gore""]",,1 hr. 19 min.,R - 17+ (violence & profanity),"On the rooftops of Shinjuku, Genichirou Izayoi fought against Levih Rah, a man who sold his soul to obtain demonic powers, and lost. Ten years later, Shinjuku remains a wasteland of demonic energy while the rest of Tokyo remains largely untouched. One day, Genichirou's son, Kyouya, is watching the news when he sees that Japan's beloved prime minister has been attacked by demonic forces. While he lacks confidence in the Nempo powers he inherited from his father, Kyouya is the only one who stands between Levih Rah and the rest of the world. Along with the prime minister's daughter, Sayaka Rama, Kyouya journeys into Shinjuku to see if he can accomplish what his father could not. [Written by MAL Rewrite]",
10135,https://myanimelist.net/anime/10135/Manga_Hajimete_Monogatari,Manga Hajimete Monogatari,6.18,197,9143,15170,857,0,,まんがはじめて物語,,,,,TV,305,Finished Airing,"May 6, 1978 to Mar 31, 1984",Spring 1978,Unknown,"[""TBS"", ""DAX Production""]",[],[],Unknown,"[""Adventure"", ""Comedy""]","[""Educational"", ""Historical""]",,25 min. per ep.,G - All Ages,"An educational program for children featuring various historical events, showing both animation and live action footage. A reoccurring ""older sister"" and the pink mole Mogutan, will take you on a journey through time.",
10465,https://myanimelist.net/anime/10465/Manyuu_Hikenchou,Manyuu Hikenchou,6.18,27656,9144,2485,87673,330,Magic Breast Secret Sword Scroll,魔乳秘剣帖,Manyu Scroll,,,,TV,12,Finished Airing,"Jul 11, 2011 to Sep 26, 2011",Summer 2011,Mondays at 01:00 (JST),"[""TV Tokyo"", ""Lantis"", ""Enterbrain"", ""Memory-Tech"", ""Happinet Pictures""]",[],"[""Hoods Entertainment""]",Manga,"[""Action"", ""Comedy"", ""Ecchi""]","[""Historical"", ""Samurai""]",Seinen,24 min. per ep.,R+ - Mild Nudity,"The Edo period of Japan gave rise to a clan of warriors with a very specialized, magical skill. The clan was known as the Manyuu, and the skill was the ability to administer a sword strike that could shrink the size of a woman's breasts. This might not seem like an ability that could exert power over a land, but in Manyuu Hikenchou , large breasts denote status, wealth, fame, and influence. Grave concern has arisen in the Manyuu clan due to the actions of their chosen successor, Chifusa. Disgusted with the breast obsessed society that the Manyuu have created and perpetuated, Chifusa has not only deserted the clan, but also stolen the sacred scroll that details their techniques to growing and severing breasts. Fortunately, Chifusa is not completely alone. Her fellow warrior Kaede is sympathetic to her cause; a sympathy that could place her in considerable danger. Now wanted by the very clan that raised her, Chifusa must defend her life and Kaede's while seeking to undo the damage their brethren have done to the land. Along the way, Chifusa will discover that she harbors a power that goes far beyond the scope of her training, one that could help shape and change the land that she seeks to bring equality to.",
33151,https://myanimelist.net/anime/33151/Meitantei_Conan__Kodai_Kyouryuu_no_Nazo_ni_Semare,Meitantei Conan: Kodai Kyouryuu no Nazo ni Semare!,6.18,272,9145,13230,1441,1,Detective Conan: Approaching the Mystery of the Ancient Dinosaurs!,名探偵コナン 古代恐竜の謎に迫れ!,,,,,OVA,1,Finished Airing,"Jun 21, 2002",,,[],[],[],Manga,"[""Mystery""]",[],,15 min.,PG-13 - Teens 13 or older,No synopsis information has been added to this title. Help improve our database by adding a synopsis here .,
9523,https://myanimelist.net/anime/9523/Minori_Scramble,Minori Scramble!,6.18,1739,9146,10045,3781,0,,みのりスクランブル!,,,,,OVA,1,Finished Airing,"Feb 15, 2012",,,"[""Aniplex""]",[],"[""ufotable""]",Manga,"[""Comedy""]",[],,39 min.,G - All Ages,"Tamaki is an elementary school girl. Her father Dr. Yagiyama loves penguins and his excessive lectures about penguins makes Tamaki hate them. In order to get rid of her hatred of penguins, he engineers the penguin-roid ""Minori"". Tamaki and Minori run about the neighborhood to solve troubles caused by her father.",
13681,https://myanimelist.net/anime/13681/Nekogami_Yaoyorozu_Specials,Nekogami Yaoyorozu Specials,6.18,556,9147,11859,2202,1,,猫神やおよろず,,,,,Special,7,Finished Airing,"Sep 21, 2011 to Mar 21, 2012",,,"[""Akita Shoten""]",[],"[""AIC PLUS+""]",Manga,"[""Comedy"", ""Supernatural""]","[""CGDCT"", ""Video Game""]",Seinen,2 min. per ep.,PG-13 - Teens 13 or older,Short episodes included in the Nekogami Yoayorozu Blu-ray and DVD volumes.,
23647,https://myanimelist.net/anime/23647/Ninja_Hattori-kun__Nin_Nin_Furusato_Daisakusen_no_Maki,Ninja Hattori-kun: Nin Nin Furusato Daisakusen no Maki,6.18,314,9148,15300,829,0,"Hattori and the War of the Little Ninja Villages, Hattori: The Little Ninja: the Chapter of the Great Clash in his Native Country",忍者ハットリくん ニンニンふるさと大作戦の巻,,,,,Movie,1,Finished Airing,"Mar 12, 1983",,,[],[],"[""Shin-Ei Animation""]",Unknown,"[""Comedy"", ""Slice of Life""]","[""Martial Arts""]",Kids,52 min.,G - All Ages,Screened as a triple feature with Doraemon: Nobita no Kaitei Kiganjou and Paman - Birdman ga Yattekita. (Source: AniDB),
20075,https://myanimelist.net/anime/20075/Obocchama-kun,Obocchama-kun,6.18,402,9149,13726,1266,4,Obotchama-kun,おぼっちゃまくん,,,,,TV,164,Finished Airing,"Jan 14, 1989 to Sep 26, 1992",Winter 1989,Saturdays at 19:30 (JST),"[""TV Asahi""]",[],"[""Shin-Ei Animation""]",Manga,"[""Comedy""]","[""Parody""]",,25 min. per ep.,PG-13 - Teens 13 or older,"Based on the children's award winning manga by Kobayashi Yoshinori, serialized  in Shogakukan's CoroCoro Comic.",
7575,https://myanimelist.net/anime/7575/Oh_Family,Oh! Family,6.18,542,9150,12249,1967,0,,Ｏｈ！ファミリー,,,,,TV,26,Finished Airing,"Oct 6, 1986 to Mar 30, 1987",Fall 1986,Mondays at 19:30 (JST),"[""TV Tokyo""]",[],"[""Knack Productions""]",Manga,"[""Comedy"", ""Drama"", ""Romance""]",[],Shoujo,23 min. per ep.,G - All Ages,"This story takes place in Florida, USA. The main characters are the lovable members of the Anderson family; each has their own characteristics which both conflict with and support the others'. By going through many events together (meaningful events as well as weird ones), the bond between them grows stronger and tighter. (Source: MU, edited)",
61892,https://myanimelist.net/anime/61892/One_Piece__Dr_Chopper_no_Bouken_Karte_-_Shinyuu-tachi_no_Crossroad,One Piece: Dr. Chopper no Bouken Karte - Shinyuu-tachi no Crossroad,6.18,441,9151,15200,852,0,"One Piece Recap, One Piece Special",Dr.チョッパーの冒険カルテ ~親友達の人生航路[クロスロード]~,One Piece: Dr. Chopper's Adventure Checkup - Good Friends at a Crossroad,,,,TV Special,1,Finished Airing,"Jun 22, 2025",,,[],[],"[""Toei Animation""]",Manga,"[""Action"", ""Adventure"", ""Comedy"", ""Fantasy""]",[],Shounen,23 min.,PG-13 - Teens 13 or older,The seventh recap special of the Egghead arc.,
29511,https://myanimelist.net/anime/29511/Ongaku_Shoujo,Ongaku Shoujo,6.18,5837,9152,6141,13364,10,"Wakate Animator Ikusei Project, 2015 Young Animator Training Project, Anime Mirai 2015",音楽少女,Music Girl,Music Girls,Music Girls,Music Girls,Movie,1,Finished Airing,"Mar 22, 2015",,,"[""DAX Production"", ""Exa International""]",[],"[""Studio Deen""]",Original,"[""Slice of Life""]","[""Music""]",,25 min.,PG-13 - Teens 13 or older,"On her way to her first day of high school, Eri Kumagai is captivated by a girl's singing. Her song is beautiful but ends abruptly when the girl steps on a cat's tail and disrupts the moment. Eri pushes this out of her mind until that same girl rushes into her class late, cat in hand, and claims that the name on the attendance list—Chiharu Yuzuka—is her ""false name"" and she is actually called Haru Chitose. Much to Eri's distaste, she cannot escape the eccentric Haru, as the two happen to share the same dormitory room. Haru causes one headache after another, but when she snoops around in Eri's laptop and discovers that she is an online composer, Eri is furious. Haru, enamored by Eri's music, desperately wants to sing with Eri, but Eri is dead set against it. Will the two be able to find common ground? [Written by MAL Rewrite]",
